fam,tf,look,sl,tp,n,wr,pf,exp,tot,nsd
donchian,1h,40,2.0,2.0,3202,33.135540287320424,0.7742224910496968,-0.1535617708139081,-491.70479014613375,
pullback,1h,20,1.5,1.5,6167,36.04670017836874,0.7645774316851207,-0.15995501490878125,-986.442576942454,
donchian,1h,40,2.0,3.0,2968,30.087601078167115,0.7625574121590973,-0.16833394080443217,-499.61513630755474,
bollinger,1h,40,1.5,1.0,611,45.662847790507364,0.7615415838561881,-0.1373432162836191,-83.91670514929126,2.5
donchian,1h,55,2.0,3.0,2528,29.311708860759495,0.7582729456306417,-0.1727855005622991,-436.8017454214921,
pullback,1h,20,1.5,2.0,5544,30.266955266955264,0.7575886199113891,-0.17916994731056557,-993.3181878897755,
donchian,1h,40,2.0,1.5,3466,36.324293133294866,0.7537761480269388,-0.1603721212962858,-555.8497724129267,
donchian,1h,55,2.0,2.0,2714,32.0560058953574,0.752639481927724,-0.1706733960150383,-463.207596784814,
donchian,4h,40,2.0,1.5,912,35.74561403508772,0.751056282408321,-0.1596054200320297,-145.5601430692111,
donchian,4h,40,1.5,1.5,1073,34.85554520037278,0.7494142044868977,-0.1679673551895045,-180.22897211833833,
donchian,4h,20,1.5,3.0,1183,25.10566356720203,0.7463779051198377,-0.1924294310311086,-227.64401690980148,
pullback,4h,20,1.5,2.0,1406,28.87624466571835,0.7426220438418315,-0.187588356474245,-263.74922920278846,
pullback,4h,20,2.0,3.0,969,30.4437564499484,0.7419930344646133,-0.17496221777542173,-169.53838902438366,
donchian,1h,20,1.5,3.0,4652,24.9140154772141,0.7410655671095666,-0.20437068566819044,-950.732429728422,
pullback,4h,20,1.5,1.5,1575,34.15873015873016,0.7374727820810428,-0.17797575800829668,-280.3118188630673,
donchian,4h,40,1.5,2.0,996,28.714859437751006,0.73710332029446,-0.1923057959656188,-191.53657278175632,
donchian,4h,40,2.0,2.0,837,31.899641577060933,0.7363346474893159,-0.17538622449831076,-146.7982699050861,
donchian,1h,55,2.0,1.5,2953,35.35387741280054,0.7343525115244995,-0.17511938993543685,-517.127558479345,
donchian,1h,20,1.5,2.0,5301,29.352952273156006,0.7326494982755508,-0.1996683480676395,-1058.441913106557,
donchian,1h,20,1.5,1.5,5861,34.908718648694766,0.7290668522829616,-0.18715582769861194,-1096.9203061415647,
donchian,1h,40,1.5,3.0,3411,24.655526238639695,0.7203927420401378,-0.22191187738145046,-756.9414137481275,
pullback,4h,20,1.5,3.0,1253,24.501197126895452,0.716099644698215,-0.2187868394271385,-274.13990980220456,
donchian,1h,40,1.5,2.0,3768,28.874734607218684,0.7102007306470782,-0.21781151153477638,-820.7137754630373,
donchian,4h,20,2.0,3.0,967,31.230610134436404,0.7098058030307772,-0.19552520447204896,-189.07287272447135,
donchian,1h,55,1.5,3.0,2904,24.173553719008265,0.7096366053993974,-0.23187964239963013,-673.3784815285259,
donchian,1h,55,1.5,2.0,3200,28.5625,0.7076290340224453,-0.2204959324718201,-705.5869839098243,
donchian,1h,55,1.5,1.5,3479,34.06151192871515,0.7034222161618027,-0.20745000884076648,-721.7185807570265,
donchian,1h,40,1.5,1.5,4104,33.966861598440545,0.6988081292047675,-0.21108529445761753,-866.2940484540624,
donchian,4h,55,1.5,2.0,853,27.080890973036343,0.6837964575032245,-0.2366106462142395,-201.8288812207463,
donchian,4h,55,1.5,1.5,914,32.494529540481395,0.6771689821786023,-0.2241086348432296,-204.83529224671184,
donchian,4h,55,2.0,1.5,791,33.122629582806574,0.6753034095479491,-0.21769175254451223,-172.19417626270916,
donchian,4h,40,1.5,3.0,897,23.076923076923077,0.6645601953832444,-0.2618939062160388,-234.9188338757868,
donchian,4h,55,2.0,2.0,735,29.38775510204082,0.6565772748606823,-0.2397065653088991,-176.18432550204085,
donchian,4h,40,2.0,3.0,774,28.036175710594314,0.6458797006241229,-0.24666566136331916,-190.91922189520903,
donchian,4h,55,1.5,3.0,784,21.683673469387756,0.6160567978897173,-0.3061939454303409,-240.05605321738724,
donchian,4h,55,2.0,3.0,684,25.146198830409354,0.5655184511674123,-0.3190351827737034,-218.22006501721313,
