tf_minutes,require_bias,tp_r,sl_atr_buffer,trail_atr,spread_gate,min_score,n,wr,pf,exp,total_r
15,True,1.0,0.5,0.0,0.2,70,357,46.778711484593835,0.783952841298309,-0.12261375764613514,-43.77311147967024
15,True,1.0,0.5,0.0,0.45,0,962,44.49064449064449,0.674605522552623,-0.19987649520921252,-192.28118839126245
15,True,1.0,0.5,0.0,0.45,60,933,44.58735262593784,0.6785848524660933,-0.19684488436168432,-183.65627710945148
15,True,1.0,0.5,0.0,0.45,70,709,46.403385049365305,0.7433009702834877,-0.15035470311549057,-106.6014845088828
15,True,1.0,0.5,1.5,0.45,0,962,44.49064449064449,0.674605522552623,-0.19987649520921252,-192.28118839126245
15,True,1.0,0.5,1.5,0.45,60,933,44.58735262593784,0.6785848524660933,-0.19684488436168432,-183.65627710945148
15,True,1.0,0.5,1.5,0.45,70,709,46.403385049365305,0.7433009702834877,-0.15035470311549057,-106.6014845088828
15,True,1.0,0.5,1.5,0.2,0,402,47.2636815920398,0.7960451251769756,-0.11464073583860095,-46.08557580711758
15,True,1.0,0.5,1.5,0.2,60,399,47.368421052631575,0.7996878561190429,-0.11232144180788514,-44.81625528134617
15,True,1.0,0.5,1.5,0.2,70,357,46.778711484593835,0.783952841298309,-0.12261375764613514,-43.77311147967024
15,True,1.0,1.0,0.0,0.2,0,401,46.633416458852864,0.7803460117386248,-0.12110574793296855,-48.56340492112039
15,True,1.0,1.0,0.0,0.2,60,398,46.733668341708544,0.783689871042859,-0.11897810423789808,-47.35328548668343
15,True,1.0,1.0,0.0,0.2,70,362,46.408839779005525,0.776013759535936,-0.12402303933583232,-44.8963402395713
15,True,1.0,1.0,1.5,0.2,0,401,46.633416458852864,0.7803460117386248,-0.12110574793296855,-48.56340492112039
15,True,1.0,1.0,1.5,0.2,60,398,46.733668341708544,0.783689871042859,-0.11897810423789808,-47.35328548668343
15,True,1.0,1.0,1.5,0.2,70,362,46.408839779005525,0.776013759535936,-0.12402303933583232,-44.8963402395713
15,True,1.0,1.0,0.0,0.45,0,951,44.269190325972666,0.686593019691674,-0.18612714241412218,-177.0069124358302
15,True,1.0,1.0,0.0,0.45,60,926,44.600431965442766,0.6968475506020001,-0.17870325507784443,-165.47921420208394
15,True,1.0,1.0,0.0,0.45,70,724,45.58011049723757,0.7339128154757715,-0.15275017455494302,-110.59112637777875
15,True,1.0,1.0,1.5,0.45,0,951,44.269190325972666,0.686593019691674,-0.18612714241412218,-177.0069124358302
15,True,1.0,1.0,1.5,0.45,60,926,44.600431965442766,0.6968475506020001,-0.17870325507784443,-165.47921420208394
15,True,1.0,1.0,1.5,0.45,70,724,45.58011049723757,0.7339128154757715,-0.15275017455494302,-110.59112637777875
15,True,1.5,0.5,0.0,0.2,0,401,36.65835411471321,0.7434102633624918,-0.17397276108784787,-69.763077196227
15,True,1.5,0.5,0.0,0.2,60,400,36.75,0.7463604422388894,-0.17172095020021694,-68.68838008008677
15,True,1.5,0.5,0.0,0.2,70,374,36.096256684491976,0.729352226280367,-0.18549148491743095,-69.37381535911918
15,True,1.5,0.5,0.0,0.45,0,959,34.51511991657977,0.661201137087897,-0.24442353889353569,-234.40217379890072
15,True,1.5,0.5,0.0,0.45,60,947,34.63569165786694,0.664956849369479,-0.24115965748960055,-228.37819564265172
15,True,1.5,0.5,0.0,0.45,70,797,35.5081555834379,0.6968911216605191,-0.21362389103266485,-170.25824115303388
15,True,1.5,0.5,1.5,0.45,0,960,41.25,0.6247271296646558,-0.23220285427496892,-222.91474010397016
15,True,1.5,0.5,1.5,0.45,60,948,41.244725738396625,0.6287561626053392,-0.22949886895422483,-217.56492776860514
15,True,1.5,0.5,1.5,0.45,70,798,42.35588972431078,0.6676545990927528,-0.20062116969178628,-160.09569341404546
15,True,1.5,0.5,1.5,0.2,0,402,42.78606965174129,0.6891720708036352,-0.17673616254003974,-71.04793734109597
15,True,1.5,0.5,1.5,0.2,60,401,42.8927680798005,0.6924276558874025,-0.1744968584163485,-69.97324022495575
15,True,1.5,0.5,1.5,0.2,70,375,41.86666666666667,0.6836669452444397,-0.183305311420995,-68.73949178287312
15,True,1.5,1.0,0.0,0.2,0,401,39.65087281795511,0.8340786591710623,-0.10244987451216059,-41.082399679376394
15,True,1.5,1.0,0.0,0.2,60,399,39.849624060150376,0.8414759016226653,-0.09750823093154853,-38.90578414168787
15,True,1.5,1.0,0.0,0.2,70,371,39.083557951482476,0.8241390274372773,-0.10964085654241569,-40.67675777723622
15,True,1.5,1.0,0.0,0.45,0,951,36.69821240799159,0.7276233776229128,-0.18118860023658234,-172.3103588249898
15,True,1.5,1.0,0.0,0.45,60,939,36.84771033013845,0.7324762807341202,-0.1773832607405756,-166.56288183540047
15,True,1.5,1.0,0.0,0.45,70,793,36.948297604035304,0.7408522227585151,-0.17053776956497083,-135.23645126502186
15,True,1.5,1.0,1.5,0.2,0,401,46.13466334164589,0.7436641868661552,-0.14184659524098078,-56.8804846916333
15,True,1.5,1.0,1.5,0.2,60,399,46.365914786967416,0.7510311016361785,-0.13710242895725505,-54.703869153944765
15,True,1.5,1.0,1.5,0.2,70,371,45.82210242587601,0.7491650808095244,-0.13972034766647942,-51.83624898426386
15,True,1.5,1.0,1.5,0.45,0,951,43.84858044164038,0.6553618637669044,-0.20510845169843966,-195.05813756521613
15,True,1.5,1.0,1.5,0.45,60,939,44.08945686900959,0.6632919039389621,-0.19936106466583117,-187.20003972121546
15,True,1.5,1.0,1.5,0.45,70,793,44.640605296343,0.6847754680263639,-0.1837138324564165,-145.68506913793829
15,True,2.0,0.5,0.0,0.2,0,401,32.418952618453865,0.7778265967944615,-0.16009824477478518,-64.19939615468886
15,True,2.0,0.5,0.0,0.2,60,399,32.581453634085214,0.7838693810582653,-0.1553178484126994,-61.97182151666706
15,True,2.0,0.5,0.0,0.2,70,371,31.536388140161726,0.7644918764665719,-0.1721788542855471,-63.87835493993798
15,True,2.0,0.5,0.0,0.45,0,958,29.853862212943632,0.6881479784487925,-0.23897089663102178,-228.93411897251886
15,True,2.0,0.5,0.0,0.45,60,946,30.021141649048626,0.693650637869401,-0.23407859868461958,-221.43835435565012
15,True,2.0,0.5,0.0,0.45,70,802,30.29925187032419,0.7120401625995985,-0.217774959243998,-174.6555173136864
15,True,2.0,0.5,1.5,0.2,0,402,42.53731343283582,0.6682831354246725,-0.18868457674678504,-75.85119985220759
15,True,2.0,0.5,1.5,0.2,60,400,42.75,0.6748574335970607,-0.18405906303546452,-73.62362521418581
15,True,2.0,0.5,1.5,0.2,70,372,41.66666666666667,0.6687895309023246,-0.19162413593938174,-71.28417856945
