pair,dir,entry_time,exit_time,r_multiple,exit_reason
GBPUSD,LONG,2026-06-09 05:15:00+00:00,2026-06-09 05:30:00+00:00,0.5,target
NZDUSD,LONG,2026-06-09 14:45:00+00:00,2026-06-09 16:00:00+00:00,-1.0,stop
GBPUSD,LONG,2026-06-09 16:45:00+00:00,2026-06-09 17:15:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-09 19:00:00+00:00,2026-06-09 21:15:00+00:00,0.5,target
GBPCAD,SHORT,2026-06-09 20:45:00+00:00,2026-06-09 21:00:00+00:00,0.5,target
GBPCAD,LONG,2026-06-10 03:45:00+00:00,2026-06-10 04:30:00+00:00,-1.0,stop
EURUSD,LONG,2026-06-10 04:45:00+00:00,2026-06-10 05:00:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-10 18:15:00+00:00,2026-06-10 18:45:00+00:00,0.5,target
GBPUSD,SHORT,2026-06-10 19:45:00+00:00,2026-06-10 20:00:00+00:00,0.5,target
CADJPY,SHORT,2026-06-10 20:45:00+00:00,2026-06-10 21:00:00+00:00,0.4,target
EURUSD,SHORT,2026-06-11 00:30:00+00:00,2026-06-11 01:00:00+00:00,-1.0,stop
GBPCAD,SHORT,2026-06-11 00:30:00+00:00,2026-06-11 01:00:00+00:00,-1.0,stop
GBPUSD,SHORT,2026-06-11 09:15:00+00:00,2026-06-11 10:00:00+00:00,0.5,target
GBPCAD,LONG,2026-06-11 12:30:00+00:00,2026-06-11 12:45:00+00:00,0.5,target
CADJPY,LONG,2026-06-12 01:30:00+00:00,2026-06-12 01:45:00+00:00,0.4,target
XAUUSD,SHORT,2026-06-12 02:15:00+00:00,2026-06-12 05:30:00+00:00,0.5,target
GBPCAD,SHORT,2026-06-12 13:30:00+00:00,2026-06-12 14:15:00+00:00,0.5,target
XAUUSD,LONG,2026-06-12 16:00:00+00:00,2026-06-12 16:15:00+00:00,0.5,target
GBPCAD,SHORT,2026-06-15 12:00:00+00:00,2026-06-15 12:30:00+00:00,0.5,target
CADJPY,SHORT,2026-06-15 14:00:00+00:00,2026-06-15 14:15:00+00:00,0.4,target
XAUUSD,LONG,2026-06-15 15:15:00+00:00,2026-06-15 15:30:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-15 16:30:00+00:00,2026-06-15 17:30:00+00:00,0.5,target
GBPUSD,SHORT,2026-06-16 05:30:00+00:00,2026-06-16 05:45:00+00:00,0.5,target
CADJPY,LONG,2026-06-16 09:45:00+00:00,2026-06-16 10:00:00+00:00,0.4,target
XAUUSD,LONG,2026-06-16 14:00:00+00:00,2026-06-16 14:15:00+00:00,-1.0,stop
NZDUSD,SHORT,2026-06-16 20:30:00+00:00,2026-06-16 20:45:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-17 05:00:00+00:00,2026-06-17 05:30:00+00:00,-1.0,stop
XAUUSD,LONG,2026-06-17 15:00:00+00:00,2026-06-17 15:15:00+00:00,0.5,target
GBPUSD,SHORT,2026-06-17 16:00:00+00:00,2026-06-17 17:45:00+00:00,-1.0,stop
GBPCAD,SHORT,2026-06-17 20:45:00+00:00,2026-06-18 00:00:00+00:00,-1.0,stop
XAUUSD,SHORT,2026-06-18 18:00:00+00:00,2026-06-18 18:30:00+00:00,0.5,target
GBPCAD,SHORT,2026-06-19 00:15:00+00:00,2026-06-19 01:45:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-19 03:00:00+00:00,2026-06-19 03:15:00+00:00,0.5,target
GBPUSD,SHORT,2026-06-19 03:45:00+00:00,2026-06-19 04:00:00+00:00,0.5,target
CADJPY,SHORT,2026-06-19 04:30:00+00:00,2026-06-19 04:45:00+00:00,0.4,target
CADJPY,SHORT,2026-06-19 12:00:00+00:00,2026-06-19 12:45:00+00:00,0.4,target
EURUSD,LONG,2026-06-19 19:00:00+00:00,2026-06-19 19:30:00+00:00,-1.0,stop
XAUUSD,LONG,2026-06-22 04:00:00+00:00,2026-06-22 05:00:00+00:00,0.5,target
GBPCAD,LONG,2026-06-22 11:00:00+00:00,2026-06-22 12:30:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-23 02:45:00+00:00,2026-06-23 03:00:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-23 04:00:00+00:00,2026-06-23 04:45:00+00:00,0.5,target
EURUSD,SHORT,2026-06-23 09:30:00+00:00,2026-06-23 10:45:00+00:00,0.5,target
GBPUSD,SHORT,2026-06-23 10:00:00+00:00,2026-06-23 10:30:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-23 12:15:00+00:00,2026-06-23 15:45:00+00:00,0.5,target
CADJPY,SHORT,2026-06-23 17:15:00+00:00,2026-06-23 17:45:00+00:00,0.4,target
GBPCAD,LONG,2026-06-23 20:45:00+00:00,2026-06-23 21:00:00+00:00,-1.0,stop
XAUUSD,SHORT,2026-06-24 01:30:00+00:00,2026-06-24 01:45:00+00:00,0.5,target
EURUSD,SHORT,2026-06-24 02:15:00+00:00,2026-06-24 02:30:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-24 06:15:00+00:00,2026-06-24 06:45:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-24 12:00:00+00:00,2026-06-24 12:15:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-24 14:00:00+00:00,2026-06-24 14:45:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-24 14:15:00+00:00,2026-06-24 14:30:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-24 18:30:00+00:00,2026-06-24 19:00:00+00:00,0.5,target
GBPCAD,LONG,2026-06-25 02:00:00+00:00,2026-06-25 03:00:00+00:00,0.5,target
GBPUSD,LONG,2026-06-25 02:00:00+00:00,2026-06-25 02:15:00+00:00,0.5,target
CADJPY,LONG,2026-06-25 09:15:00+00:00,2026-06-25 09:30:00+00:00,-1.0,stop
GBPUSD,LONG,2026-06-25 09:15:00+00:00,2026-06-25 09:45:00+00:00,-1.0,stop
XAUUSD,SHORT,2026-06-26 03:15:00+00:00,2026-06-26 04:45:00+00:00,-1.0,stop
GBPCAD,LONG,2026-06-26 08:30:00+00:00,2026-06-26 09:30:00+00:00,0.5,target
XAUUSD,LONG,2026-06-26 10:00:00+00:00,2026-06-26 12:30:00+00:00,-1.0,stop
NZDUSD,LONG,2026-06-26 12:00:00+00:00,2026-06-26 12:45:00+00:00,0.5,target
EURUSD,LONG,2026-06-29 03:00:00+00:00,2026-06-29 03:15:00+00:00,-1.0,stop
GBPUSD,LONG,2026-06-29 03:00:00+00:00,2026-06-29 03:45:00+00:00,-1.0,stop
NZDUSD,LONG,2026-06-29 03:00:00+00:00,2026-06-29 05:30:00+00:00,0.5,target
EURUSD,LONG,2026-06-29 09:00:00+00:00,2026-06-29 09:45:00+00:00,0.5,target
GBPUSD,SHORT,2026-07-01 05:45:00+00:00,2026-07-01 06:15:00+00:00,0.5,target
GBPCAD,LONG,2026-07-01 11:15:00+00:00,2026-07-01 11:30:00+00:00,0.5,target
NZDUSD,LONG,2026-07-02 13:30:00+00:00,2026-07-03 06:00:00+00:00,0.5,target
GBPCAD,LONG,2026-07-03 02:00:00+00:00,2026-07-03 02:30:00+00:00,-1.0,stop
GBPCAD,LONG,2026-07-03 07:30:00+00:00,2026-07-03 07:45:00+00:00,0.5,target
