tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
1.5,0.0,False,0.5,0.62,60,163,38.65030674846626,0.8224862647685892,-0.11845857988130565
1.5,0.0,False,0.5,0.62,65,148,39.189189189189186,0.8442671231712233,-0.10252765153165361
1.5,0.0,False,0.5,0.62,70,118,41.52542372881356,0.9366197607492504,-0.0402689979435211
1.5,0.0,False,0.5,0.62,75,71,36.61971830985916,0.7622293250041836,-0.16470554835779888
1.5,0.0,False,1.1,0.5,0,230,40.43478260869565,0.8270480016273174,-0.10334974836651471
1.5,0.0,False,1.1,0.5,60,222,40.99099099099099,0.8407817703991612,-0.09447535344685844
1.5,0.0,False,1.1,0.5,65,198,42.42424242424242,0.9287388719441554,-0.04063881439350108
1.5,0.0,False,1.1,0.5,70,150,44.666666666666664,1.0215634199974193,0.011512086641352207
1.5,0.0,False,1.1,0.5,75,83,38.55421686746988,0.8621526084153158,-0.0792199185991786
1.5,0.0,False,1.1,0.62,0,185,38.37837837837838,0.7636391111284161,-0.15084215268790882
1.5,0.0,False,1.1,0.62,60,178,38.764044943820224,0.7688992421090705,-0.14739365071085556
1.5,0.0,False,1.1,0.62,65,157,40.12738853503185,0.8195059332870641,-0.11110422578226736
1.5,0.0,False,1.1,0.62,70,121,42.97520661157025,0.947082282955252,-0.03015132407563102
1.5,0.0,False,1.1,0.62,75,67,40.298507462686565,0.8098615879641377,-0.11172532171279892
2.0,0.0,False,0.5,0.5,0,233,36.05150214592275,0.8855458683212251,-0.07773391869387086
2.0,0.0,False,0.5,0.5,60,225,36.44444444444444,0.8989706854684363,-0.06805002492347108
2.0,0.0,False,0.5,0.5,65,207,37.68115942028986,0.9773140264653674,-0.014877300219623944
2.0,0.0,False,0.5,0.5,70,165,40.60606060606061,1.1197333907029123,0.07332242004388449
2.0,0.0,False,0.5,0.5,75,91,36.26373626373626,0.9932001796135097,-0.004439185306302106
2.0,0.0,False,0.5,0.62,0,178,33.70786516853933,0.8236966354881077,-0.12745860226550557
2.0,0.0,False,0.5,0.62,60,170,34.11764705882353,0.8388851820589857,-0.11543083743041173
2.0,0.0,False,0.5,0.62,65,153,35.294117647058826,0.8905516247729242,-0.07649863862789298
