retr_frac,sl_atr_buffer,tp_r,tp1_frac,breakeven_after_tp1,entry_expiry,min_score,n,wr,pf,exp,total_r
0.35,0.5,2.5,0.5,False,6,65,242,39.25619834710744,0.8198799184022758,-0.09499864639900699,-22.98967242855969
0.35,0.5,2.5,0.5,False,6,70,190,42.63157894736842,1.004112281869549,0.0019218666896068876,0.36515467102530863
0.35,0.5,2.5,0.5,False,6,75,111,40.54054054054054,0.9045478222661856,-0.047566874014272974,-5.2799230155843
0.35,0.5,2.5,0.5,False,10,0,289,36.332179930795846,0.7233933467024137,-0.15338519305026965,-44.32832079152793
0.35,0.5,2.5,0.5,False,10,55,286,36.71328671328671,0.7337778175834199,-0.14706414267167506,-42.06034480409907
0.35,0.5,2.5,0.5,False,10,60,279,36.91756272401434,0.7304050150929371,-0.1502295000970774,-41.91403052708459
0.35,0.5,2.5,0.5,False,10,65,260,38.07692307692307,0.7847376221273306,-0.11573948643150445,-30.092266472191156
0.35,0.5,2.5,0.5,False,10,70,206,41.262135922330096,0.9533886030394367,-0.022360605259621285,-4.606284683481984
0.35,0.5,2.5,0.5,False,10,75,121,39.66942148760331,0.8763499573531077,-0.06224235320854018,-7.531324738233361
0.35,0.5,3.0,0.0,False,6,0,270,32.96296296296296,0.7424377378256836,-0.17549183878979488,-47.38279647324462
0.35,0.5,3.0,0.0,False,6,55,268,33.2089552238806,0.7515185418858278,-0.16850701648804162,-45.159880418795154
0.35,0.5,3.0,0.0,False,6,60,265,33.20754716981132,0.7444623648855935,-0.17315589047675267,-45.88631097633946
0.35,0.5,3.0,0.0,False,6,65,248,33.46774193548387,0.7763426709352869,-0.14991047448539555,-37.1777976723781
0.35,0.5,3.0,0.0,False,6,70,204,35.78431372549019,0.8838355470346575,-0.0739398298818037,-15.083725295887955
0.35,0.5,3.0,0.0,False,6,75,124,36.29032258064516,0.8971706472914751,-0.06383440612453492,-7.91546635944233
0.35,0.5,3.0,0.0,False,10,0,289,32.17993079584775,0.717252693452985,-0.19612052691912366,-56.67883227962674
0.35,0.5,3.0,0.0,False,10,55,287,32.40418118466899,0.7252956499099038,-0.18974186838040863,-54.455916225177276
0.35,0.5,3.0,0.0,False,10,60,283,32.50883392226148,0.7232178905401954,-0.19051146479176154,-53.91474453606852
0.35,0.5,3.0,0.0,False,10,65,266,32.70676691729324,0.7511027807995045,-0.1697836201537092,-45.16244296088665
0.35,0.5,3.0,0.0,False,10,70,219,34.70319634703196,0.8327928501719841,-0.10913545329945983,-23.9006642725817
0.35,0.5,3.0,0.0,False,10,75,136,35.294117647058826,0.8447702190214482,-0.09908754851699894,-13.475906598311855
0.35,0.5,3.0,0.5,True,6,0,274,48.175182481751825,0.7239134604612826,-0.14900960367321436,-40.82863140646074
0.35,0.5,3.0,0.5,True,6,55,272,48.161764705882355,0.7266356649019938,-0.14753538257855794,-40.129624061367764
0.35,0.5,3.0,0.5,True,6,60,269,48.3271375464684,0.7349409837381787,-0.14250450422488603,-38.33371163649434
0.35,0.5,3.0,0.5,True,6,65,252,48.41269841269841,0.7537620236788752,-0.1314764001027216,-33.13205282588584
0.35,0.5,3.0,0.5,True,6,70,207,51.690821256038646,0.8922898550016894,-0.05285043346169442,-10.940039726570745
0.35,0.5,3.0,0.5,True,6,75,126,52.38095238095239,0.9550869727765294,-0.02147796704706254,-2.7062238479298797
0.35,0.5,3.0,0.5,True,10,0,293,47.781569965870304,0.7076182921649976,-0.15946507811203628,-46.723267886826626
0.35,0.5,3.0,0.5,True,10,55,291,47.766323024054984,0.7100247406286397,-0.15815897093379264,-46.02426054173365
0.35,0.5,3.0,0.5,True,10,60,287,47.73519163763066,0.7149821407252448,-0.15546100239640595,-44.61730768776851
0.35,0.5,3.0,0.5,True,10,65,270,47.77777777777778,0.7286697410408165,-0.14719346669191555,-39.7422360068172
0.35,0.5,3.0,0.5,True,10,70,222,50.9009009009009,0.8574410652221806,-0.0715086822449883,-15.874927458387402
0.35,0.5,3.0,0.5,True,10,75,138,51.449275362318836,0.9129248721143578,-0.04284993792624231,-5.913291433821438
0.35,0.5,3.0,0.5,False,6,0,270,36.666666666666664,0.7471680534007169,-0.1386607618374944,-37.43840569612349
0.35,0.5,3.0,0.5,False,6,55,268,36.940298507462686,0.7532674326376421,-0.13522163563817355,-36.23939835103051
0.35,0.5,3.0,0.5,False,6,60,265,36.9811320754717,0.751448125316637,-0.1357201090889616,-35.96582890857482
0.35,0.5,3.0,0.5,False,6,65,248,37.5,0.7781810322099757,-0.12022259610001305,-29.81520383280324
0.35,0.5,3.0,0.5,False,6,70,204,40.19607843137255,0.9123638641718576,-0.04346396435703948,-8.866648728836054
0.35,0.5,3.0,0.5,False,6,75,124,41.12903225806452,0.9472751786433947,-0.02516665052091441,-3.120664664593387
0.35,0.5,3.0,0.5,False,10,0,289,35.6401384083045,0.7268843892330984,-0.1515888805585506,-43.80918648142112
0.35,0.5,3.0,0.5,False,10,55,287,35.88850174216028,0.7323586692215069,-0.14846752312309458,-42.61017913632814
0.35,0.5,3.0,0.5,False,10,60,283,36.042402826855124,0.7311880733743409,-0.14899558946542918,-42.16575181871646
0.35,0.5,3.0,0.5,False,10,65,266,36.46616541353384,0.7515339264971111,-0.13690901457306281,-36.41779787643471
0.35,0.5,3.0,0.5,False,10,70,219,38.81278538812785,0.8623996425741032,-0.06987002950069734,-15.301536460652718
0.35,0.5,3.0,0.5,False,10,75,136,39.705882352941174,0.8906095937067385,-0.05388038419474225,-7.327732250484946
0.35,0.8,2.0,0.0,False,6,0,252,36.11111111111111,0.7395306116353751,-0.16143230228039587,-40.68094017465976
0.35,0.8,2.0,0.0,False,6,55,248,36.693548387096776,0.7607618013551016,-0.14646052665746745,-36.32221061105193
0.35,0.8,2.0,0.0,False,6,60,237,37.9746835443038,0.8167546553132142,-0.10893179384504421,-25.81683514127548
0.35,0.8,2.0,0.0,False,6,65,201,37.81094527363184,0.8407682391986829,-0.09354639302424371,-18.802824997872985
0.35,0.8,2.0,0.0,False,6,70,142,40.140845070422536,0.9935731922080654,-0.003494649835412484,-0.49624027662857273
0.35,0.8,2.0,0.0,False,6,75,74,33.78378378378378,0.7608629629067726,-0.14522118545033896,-10.746367723325083
0.35,0.8,2.0,0.0,False,10,0,270,35.18518518518518,0.7066946614294854,-0.1853441112639473,-50.04291004126577
0.35,0.8,2.0,0.0,False,10,55,265,35.84905660377358,0.7300938435031088,-0.1682064440303202,-44.574707668034854
0.35,0.8,2.0,0.0,False,10,60,254,37.00787401574803,0.7790735075630806,-0.13413122912700157,-34.0693321982584
0.35,0.8,2.0,0.0,False,10,65,218,36.69724770642202,0.7944232115728622,-0.1239204510870162,-27.014658336969532
0.35,0.8,2.0,0.0,False,10,70,157,38.21656050955414,0.8925638736782331,-0.06122880403496264,-9.612922233489135
0.35,0.8,2.0,0.0,False,10,75,85,31.76470588235294,0.6467263110223442,-0.22710192313750147,-19.303663466687624
0.35,0.8,2.0,0.5,True,6,0,254,48.818897637795274,0.7732006687904469,-0.1166179340214721,-29.620955241453913
0.35,0.8,2.0,0.5,True,6,55,250,49.2,0.7897170667038838,-0.10713442538955206,-26.783606347388016
0.35,0.8,2.0,0.5,True,6,60,239,49.7907949790795,0.8237406626788385,-0.08825823326575993,-21.093717750516625
0.35,0.8,2.0,0.5,True,6,65,203,50.24630541871922,0.8547055615133969,-0.0709698897349914,-14.406887616203253
0.35,0.8,2.0,0.5,True,6,70,143,54.54545454545454,1.0741384727533443,0.03197414797165059,4.572303159946034
0.35,0.8,2.0,0.5,True,6,75,75,42.66666666666667,0.6902679341337717,-0.16651046064286348,-12.48828454821476
0.35,0.8,2.0,0.5,True,10,0,272,47.794117647058826,0.7396124870076032,-0.1367228450954029,-37.188613865949584
0.35,0.8,2.0,0.5,True,10,55,267,47.940074906367045,0.7510192568065903,-0.130165080490255,-34.754076490898086
0.35,0.8,2.0,0.5,True,10,60,256,48.4375,0.7796337037513122,-0.1135319839610418,-29.064187894026702
