stopx,tgtR,cost<=,strat,qual,n,win%,PF,expR,totR
3.0,2.5,0.05,trend,none,384,53.4,1.24,0.09,34.4
3.0,2.5,0.05,trend,m15,384,53.4,1.24,0.09,34.4
3.0,2.5,0.05,trend+breakout,none,1013,50.7,1.3,0.125,126.6
3.0,2.5,0.05,trend+breakout,retest,667,50.8,1.39,0.167,111.1
3.0,2.5,0.05,trend+breakout,m15,928,50.9,1.29,0.121,112.3
3.0,2.5,0.05,trend+breakout,retest+m15,586,51.0,1.39,0.166,97.4
3.0,2.5,0.05,no_liquidity_only,none,1013,50.7,1.3,0.125,126.6
3.0,2.5,0.05,no_liquidity_only,retest,667,50.8,1.39,0.167,111.1
3.0,2.5,0.05,no_liquidity_only,m15,928,50.9,1.29,0.121,112.3
3.0,2.5,0.05,no_liquidity_only,retest+m15,586,51.0,1.39,0.166,97.4
